;v0.3.11e1_exEcai-3ag_ECAI_Ligne_3All
Standard deviation of nb of {deny} received (max) ;0.9428090415820634;
Standard deviation of total size of {deny} received (avg) ;10.842303978193728;
Standard deviation of total size of {deny} received (stddev) ;0.0;
Standard deviation of total size of {deny} received (min) ;10.842303978193728;
Standard deviation of total size of {deny} received (max) ;10.842303978193728;
Standard deviation of max size of {deny} received (avg) ;10.842303978193728;
Standard deviation of max size of {deny} received (stddev) ;0.0;
Standard deviation of max size of {deny} received (min) ;10.842303978193728;
Standard deviation of max size of {deny} received (max) ;10.842303978193728;
Standard deviation of min size of {deny} received (avg) ;10.842303978193728;
Standard deviation of min size of {deny} received (stddev) ;0.0;
Standard deviation of min size of {deny} received (min) ;10.842303978193728;
Standard deviation of min size of {deny} received (max) ;10.842303978193728;
Product of nb of {propose} received (avg) ;9.0;
Product of nb of {propose} received (stddev) ;0.0;
Product of nb of {propose} received (min) ;9;
Product of nb of {propose} received (max) ;9;
Product of total size of {propose} received (avg) ;485377.0;
Product of total size of {propose} received (stddev) ;0.0;
Product of total size of {propose} received (min) ;485377;
Product of total size of {propose} received (max) ;485377;
Product of max size of {propose} received (avg) ;160003.0;
Product of max size of {propose} received (stddev) ;0.0;
Product of max size of {propose} received (min) ;160003;
Product of max size of {propose} received (max) ;160003;
Product of min size of {propose} received (avg) ;8784.0;
Product of min size of {propose} received (stddev) ;0.0;
Product of min size of {propose} received (min) ;8784;
Product of min size of {propose} received (max) ;8784;
Max of nb of {propose} received (avg) ;3.0;
Max of nb of {propose} received (stddev) ;0.0;
Max of nb of {propose} received (min) ;3;
Max of nb of {propose} received (max) ;3;
Max of total size of {propose} received (avg) ;109.0;
Max of total size of {propose} received (stddev) ;0.0;
Max of total size of {propose} received (min) ;109;
Max of total size of {propose} received (max) ;109;
Max of max size of {propose} received (avg) ;61.0;
Max of max size of {propose} received (stddev) ;0.0;
Max of max size of {propose} received (min) ;61;
Max of max size of {propose} received (max) ;61;
Max of min size of {propose} received (avg) ;61.0;
Max of min size of {propose} received (stddev) ;0.0;
Max of min size of {propose} received (min) ;61;
Max of min size of {propose} received (max) ;61;
Min of nb of {propose} received (avg) ;1.0;
Min of nb of {propose} received (stddev) ;0.0;
Min of nb of {propose} received (min) ;1;
Min of nb of {propose} received (max) ;1;
Min of total size of {propose} received (avg) ;61.0;
Min of total size of {propose} received (stddev) ;0.0;
Min of total size of {propose} received (min) ;61;
Min of total size of {propose} received (max) ;61;
Min of max size of {propose} received (avg) ;43.0;
Min of max size of {propose} received (stddev) ;0.0;
Min of max size of {propose} received (min) ;43;
Min of max size of {propose} received (max) ;43;
Min of min size of {propose} received (avg) ;6.0;
Min of min size of {propose} received (stddev) ;0.0;
Min of min size of {propose} received (min) ;6;
Min of min size of {propose} received (max) ;6;
Sum of nb of {propose} received (avg) ;7.0;
Sum of nb of {propose} received (stddev) ;0.0;
Sum of nb of {propose} received (min) ;7;
Sum of nb of {propose} received (max) ;7;
Sum of total size of {propose} received (avg) ;243.0;
Sum of total size of {propose} received (stddev) ;0.0;
Sum of total size of {propose} received (min) ;243;
Sum of total size of {propose} received (max) ;243;
Sum of max size of {propose} received (avg) ;165.0;
Sum of max size of {propose} received (stddev) ;0.0;
Sum of max size of {propose} received (min) ;165;
Sum of max size of {propose} received (max) ;165;
Sum of min size of {propose} received (avg) ;91.0;
Sum of min size of {propose} received (stddev) ;0.0;
Sum of min size of {propose} received (min) ;91;
Sum of min size of {propose} received (max) ;91;
Average of nb of {propose} received (avg) ;2.3333333333333335;
Average of nb of {propose} received (stddev) ;0.0;
Average of nb of {propose} received (min) ;2.3333333333333335;
Average of nb of {propose} received (max) ;2.3333333333333335;
Average of total size of {propose} received (avg) ;81.0;
Average of total size of {propose} received (stddev) ;0.0;
Average of total size of {propose} received (min) ;81.0;
Average of total size of {propose} received (max) ;81.0;
Average of max size of {propose} received (avg) ;55.0;
Average of max size of {propose} received (stddev) ;0.0;
Average of max size of {propose} received (min) ;55.0;
Average of max size of {propose} received (max) ;55.0;
Average of min size of {propose} received (avg) ;30.333333333333332;
Average of min size of {propose} received (stddev) ;0.0;
Average of min size of {propose} received (min) ;30.333333333333332;
Average of min size of {propose} received (max) ;30.333333333333332;
Standard deviation of nb of {propose} received (avg) ;0.9428090415820634;
Standard deviation of nb of {propose} received (stddev) ;0.0;
Standard deviation of nb of {propose} received (min) ;0.9428090415820634;
Standard deviation of nb of {propose} received (max) ;0.9428090415820634;
Standard deviation of total size of {propose} received (avg) ;20.396078054371138;
Standard deviation of total size of {propose} received (stddev) ;0.0;
Standard deviation of total size of {propose} received (min) ;20.396078054371138;
Standard deviation of total size of {propose} received (max) ;20.396078054371138;
Standard deviation of max size of {propose} received (avg) ;8.48528137423857;
Standard deviation of max size of {propose} received (stddev) ;0.0;
Standard deviation of max size of {propose} received (min) ;8.48528137423857;
Standard deviation of max size of {propose} received (max) ;8.48528137423857;
Standard deviation of min size of {propose} received (avg) ;22.89589968143253;
Standard deviation of min size of {propose} received (stddev) ;0.0;
Standard deviation of min size of {propose} received (min) ;22.89589968143253;
Standard deviation of min size of {propose} received (max) ;22.89589968143253;
Product of nb of {acknowledge confirmation} received (avg) ;-9.0;
Product of nb of {acknowledge confirmation} received (stddev) ;0.0;
Product of nb of {acknowledge confirmation} received (min) ;-9;
Product of nb of {acknowledge confirmation} received (max) ;0;
Product of total size of {acknowledge confirmation} received (avg) ;-2916.0;
Product of total size of {acknowledge confirmation} received (stddev) ;0.0;
Product of total size of {acknowledge confirmation} received (min) ;-2916;
Product of total size of {acknowledge confirmation} received (max) ;0;
Product of max size of {acknowledge confirmation} received (avg) ;-576.0;
Product of max size of {acknowledge confirmation} received (stddev) ;0.0;
Product of max size of {acknowledge confirmation} received (min) ;-576;
Product of max size of {acknowledge confirmation} received (max) ;0;
Product of min size of {acknowledge confirmation} received (avg) ;-36.0;
Product of min size of {acknowledge confirmation} received (stddev) ;0.0;
Product of min size of {acknowledge confirmation} received (min) ;-36;
Product of min size of {acknowledge confirmation} received (max) ;0;
Max of nb of {acknowledge confirmation} received (avg) ;3.0;
Max of nb of {acknowledge confirmation} received (stddev) ;0.0;
Max of nb of {acknowledge confirmation} received (min) ;3;
Max of nb of {acknowledge confirmation} received (max) ;3;
Max of total size of {acknowledge confirmation} received (avg) ;54.0;
Max of total size of {acknowledge confirmation} received (stddev) ;0.0;
Max of total size of {acknowledge confirmation} received (min) ;54;
Max of total size of {acknowledge confirmation} received (max) ;54;
Max of max size of {acknowledge confirmation} received (avg) ;24.0;
Max of max size of {acknowledge confirmation} received (stddev) ;0.0;
Max of max size of {acknowledge confirmation} received (min) ;24;
Max of max size of {acknowledge confirmation} received (max) ;24;
Max of min size of {acknowledge confirmation} received (avg) ;6.0;
Max of min size of {acknowledge confirmation} received (stddev) ;0.0;
Max of min size of {acknowledge confirmation} received (min) ;6;
Max of min size of {acknowledge confirmation} received (max) ;6;
Min of nb of {acknowledge confirmation} received (avg) ;-1.0;
Min of nb of {acknowledge confirmation} received (stddev) ;0.0;
Min of nb of {acknowledge confirmation} received (min) ;-1;
Min of nb of {acknowledge confirmation} received (max) ;0;
Min of total size of {acknowledge confirmation} received (avg) ;-1.0;
Min of total size of {acknowledge confirmation} received (stddev) ;0.0;
Min of total size of {acknowledge confirmation} received (min) ;-1;
Min of total size of {acknowledge confirmation} received (max) ;0;
Min of max size of {acknowledge confirmation} received (avg) ;-1.0;
Min of max size of {acknowledge confirmation} received (stddev) ;0.0;
Min of max size of {acknowledge confirmation} received (min) ;-1;
Min of max size of {acknowledge confirmation} received (max) ;0;
Min of min size of {acknowledge confirmation} received (avg) ;-1.0;
Min of min size of {acknowledge confirmation} received (stddev) ;0.0;
Min of min size of {acknowledge confirmation} received (min) ;-1;
Min of min size of {acknowledge confirmation} received (max) ;0;
Sum of nb of {acknowledge confirmation} received (avg) ;5.0;
Sum of nb of {acknowledge confirmation} received (stddev) ;0.0;
Sum of nb of {acknowledge confirmation} received (min) ;5;
Sum of nb of {acknowledge confirmation} received (max) ;5;
Sum of total size of {acknowledge confirmation} received (avg) ;107.0;
Sum of total size of {acknowledge confirmation} received (stddev) ;0.0;
Sum of total size of {acknowledge confirmation} received (min) ;107;
Sum of total size of {acknowledge confirmation} received (max) ;107;
Sum of max size of {acknowledge confirmation} received (avg) ;47.0;
Sum of max size of {acknowledge confirmation} received (stddev) ;0.0;
Sum of max size of {acknowledge confirmation} received (min) ;47;
Sum of max size of {acknowledge confirmation} received (max) ;47;
Sum of min size of {acknowledge confirmation} received (avg) ;11.0;
Sum of min size of {acknowledge confirmation} received (stddev) ;0.0;
Sum of min size of {acknowledge confirmation} received (min) ;11;
Sum of min size of {acknowledge confirmation} received (max) ;11;
Average of nb of {acknowledge confirmation} received (avg) ;1.6666666666666667;
Average of nb of {acknowledge confirmation} received (stddev) ;0.0;
Average of nb of {acknowledge confirmation} received (min) ;1.6666666666666667;
Average of nb of {acknowledge confirmation} received (max) ;1.6666666666666667;
Average of total size of {acknowledge confirmation} received (avg) ;35.666666666666664;
Average of total size of {acknowledge confirmation} received (stddev) ;0.0;
Average of total size of {acknowledge confirmation} received (min) ;35.666666666666664;
Average of total size of {acknowledge confirmation} received (max) ;35.666666666666664;
Average of max size of {acknowledge confirmation} received (avg) ;15.666666666666666;
Average of max size of {acknowledge confirmation} received (stddev) ;0.0;
Average of max size of {acknowledge confirmation} received (min) ;15.666666666666666;
Average of max size of {acknowledge confirmation} received (max) ;15.666666666666666;
Average of min size of {acknowledge confirmation} received (avg) ;3.6666666666666665;
Average of min size of {acknowledge confirmation} received (stddev) ;0.0;
Average of min size of {acknowledge confirmation} received (min) ;3.6666666666666665;
Average of min size of {acknowledge confirmation} received (max) ;3.6666666666666665;
Standard deviation of nb of {acknowledge confirmation} received (avg) ;1.8856180831641267;
Standard deviation of nb of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of nb of {acknowledge confirmation} received (min) ;1.8856180831641267;
Standard deviation of nb of {acknowledge confirmation} received (max) ;1.8856180831641267;
Standard deviation of total size of {acknowledge confirmation} received (avg) ;25.927248643506744;
Standard deviation of total size of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of total size of {acknowledge confirmation} received (min) ;25.927248643506744;
Standard deviation of total size of {acknowledge confirmation} received (max) ;25.927248643506744;
Standard deviation of max size of {acknowledge confirmation} received (avg) ;11.785113019775793;
Standard deviation of max size of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of max size of {acknowledge confirmation} received (min) ;11.785113019775793;
Standard deviation of max size of {acknowledge confirmation} received (max) ;11.785113019775793;
Standard deviation of min size of {acknowledge confirmation} received (avg) ;3.2998316455372216;
Standard deviation of min size of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of min size of {acknowledge confirmation} received (min) ;3.2998316455372216;
Standard deviation of min size of {acknowledge confirmation} received (max) ;3.2998316455372216;
Product of nb of {withdraw} received (avg) ;2.0;
Product of nb of {withdraw} received (stddev) ;0.0;
Product of nb of {withdraw} received (min) ;2;
Product of nb of {withdraw} received (max) ;2;
Product of total size of {withdraw} received (avg) ;16.0;
Product of total size of {withdraw} received (stddev) ;0.0;
Product of total size of {withdraw} received (min) ;16;
Product of total size of {withdraw} received (max) ;16;
Product of max size of {withdraw} received (avg) ;8.0;
Product of max size of {withdraw} received (stddev) ;0.0;
Product of max size of {withdraw} received (min) ;8;
Product of max size of {withdraw} received (max) ;8;
Product of min size of {withdraw} received (avg) ;8.0;
Product of min size of {withdraw} received (stddev) ;0.0;
Product of min size of {withdraw} received (min) ;8;
Product of min size of {withdraw} received (max) ;8;
Max of nb of {withdraw} received (avg) ;2.0;
Max of nb of {withdraw} received (stddev) ;0.0;
Max of nb of {withdraw} received (min) ;2;
Max of nb of {withdraw} received (max) ;2;
Max of total size of {withdraw} received (avg) ;4.0;
Max of total size of {withdraw} received (stddev) ;0.0;
Max of total size of {withdraw} received (min) ;4;
Max of total size of {withdraw} received (max) ;4;
Max of max size of {withdraw} received (avg) ;2.0;
Max of max size of {withdraw} received (stddev) ;0.0;
Max of max size of {withdraw} received (min) ;2;
Max of max size of {withdraw} received (max) ;2;
Max of min size of {withdraw} received (avg) ;2.0;
Max of min size of {withdraw} received (stddev) ;0.0;
Max of min size of {withdraw} received (min) ;2;
Max of min size of {withdraw} received (max) ;2;
Min of nb of {withdraw} received (avg) ;1.0;
Min of nb of {withdraw} received (stddev) ;0.0;
Min of nb of {withdraw} received (min) ;1;
Min of nb of {withdraw} received (max) ;1;
Min of total size of {withdraw} received (avg) ;2.0;
Min of total size of {withdraw} received (stddev) ;0.0;
Min of total size of {withdraw} received (min) ;2;
Min of total size of {withdraw} received (max) ;2;
Min of max size of {withdraw} received (avg) ;2.0;
Min of max size of {withdraw} received (stddev) ;0.0;
Min of max size of {withdraw} received (min) ;2;
Min of max size of {withdraw} received (max) ;2;
Min of min size of {withdraw} received (avg) ;2.0;
Min of min size of {withdraw} received (stddev) ;0.0;
Min of min size of {withdraw} received (min) ;2;
Min of min size of {withdraw} received (max) ;2;
Sum of nb of {withdraw} received (avg) ;4.0;
Sum of nb of {withdraw} received (stddev) ;0.0;
Sum of nb of {withdraw} received (min) ;4;
Sum of nb of {withdraw} received (max) ;4;
Sum of total size of {withdraw} received (avg) ;8.0;
Sum of total size of {withdraw} received (stddev) ;0.0;
Sum of total size of {withdraw} received (min) ;8;
Sum of total size of {withdraw} received (max) ;8;
Sum of max size of {withdraw} received (avg) ;6.0;
Sum of max size of {withdraw} received (stddev) ;0.0;
Sum of max size of {withdraw} received (min) ;6;
Sum of max size of {withdraw} received (max) ;6;
Sum of min size of {withdraw} received (avg) ;6.0;
Sum of min size of {withdraw} received (stddev) ;0.0;
Sum of min size of {withdraw} received (min) ;6;
Sum of min size of {withdraw} received (max) ;6;
Average of nb of {withdraw} received (avg) ;1.3333333333333333;
Average of nb of {withdraw} received (stddev) ;0.0;
Average of nb of {withdraw} received (min) ;1.3333333333333333;
Average of nb of {withdraw} received (max) ;1.3333333333333333;
Average of total size of {withdraw} received (avg) ;2.6666666666666665;
Average of total size of {withdraw} received (stddev) ;0.0;
Average of total size of {withdraw} received (min) ;2.6666666666666665;
Average of total size of {withdraw} received (max) ;2.6666666666666665;
Average of max size of {withdraw} received (avg) ;2.0;
Average of max size of {withdraw} received (stddev) ;0.0;
Average of max size of {withdraw} received (min) ;2.0;
Average of max size of {withdraw} received (max) ;2.0;
Average of min size of {withdraw} received (avg) ;2.0;
Average of min size of {withdraw} received (stddev) ;0.0;
Average of min size of {withdraw} received (min) ;2.0;
Average of min size of {withdraw} received (max) ;2.0;
Standard deviation of nb of {withdraw} received (avg) ;0.4714045207910317;
Standard deviation of nb of {withdraw} received (stddev) ;0.0;
Standard deviation of nb of {withdraw} received (min) ;0.4714045207910317;
Standard deviation of nb of {withdraw} received (max) ;0.4714045207910317;
Standard deviation of total size of {withdraw} received (avg) ;0.9428090415820634;
Standard deviation of total size of {withdraw} received (stddev) ;0.0;
Standard deviation of total size of {withdraw} received (min) ;0.9428090415820634;
Standard deviation of total size of {withdraw} received (max) ;0.9428090415820634;
Standard deviation of max size of {withdraw} received (avg) ;0.0;
Standard deviation of max size of {withdraw} received (stddev) ;0.0;
Standard deviation of max size of {withdraw} received (min) ;0.0;
Standard deviation of max size of {withdraw} received (max) ;0;
Standard deviation of min size of {withdraw} received (avg) ;0.0;
Standard deviation of min size of {withdraw} received (stddev) ;0.0;
Standard deviation of min size of {withdraw} received (min) ;0.0;
Standard deviation of min size of {withdraw} received (max) ;0;
Product of nb of {argue} received (avg) ;1.0;
Product of nb of {argue} received (stddev) ;0.0;
Product of nb of {argue} received (min) ;1;
Product of nb of {argue} received (max) ;1;
Product of total size of {argue} received (avg) ;18.0;
Product of total size of {argue} received (stddev) ;0.0;
Product of total size of {argue} received (min) ;18;
Product of total size of {argue} received (max) ;18;
Product of max size of {argue} received (avg) ;18.0;
Product of max size of {argue} received (stddev) ;0.0;
Product of max size of {argue} received (min) ;18;
Product of max size of {argue} received (max) ;18;
Product of min size of {argue} received (avg) ;18.0;
Product of min size of {argue} received (stddev) ;0.0;
Product of min size of {argue} received (min) ;18;
Product of min size of {argue} received (max) ;18;
Max of nb of {argue} received (avg) ;1.0;
Max of nb of {argue} received (stddev) ;0.0;
Max of nb of {argue} received (min) ;1;
Max of nb of {argue} received (max) ;1;
Max of total size of {argue} received (avg) ;18.0;
Max of total size of {argue} received (stddev) ;0.0;
Max of total size of {argue} received (min) ;18;
Max of total size of {argue} received (max) ;18;
Max of max size of {argue} received (avg) ;18.0;
Max of max size of {argue} received (stddev) ;0.0;
Max of max size of {argue} received (min) ;18;
Max of max size of {argue} received (max) ;18;
Max of min size of {argue} received (avg) ;18.0;
Max of min size of {argue} received (stddev) ;0.0;
Max of min size of {argue} received (min) ;18;
Max of min size of {argue} received (max) ;18;
Min of nb of {argue} received (avg) ;-1.0;
Min of nb of {argue} received (stddev) ;0.0;
Min of nb of {argue} received (min) ;-1;
Min of nb of {argue} received (max) ;0;
Min of total size of {argue} received (avg) ;-1.0;
Min of total size of {argue} received (stddev) ;0.0;
Min of total size of {argue} received (min) ;-1;
Min of total size of {argue} received (max) ;0;
Min of max size of {argue} received (avg) ;-1.0;
Min of max size of {argue} received (stddev) ;0.0;
Min of max size of {argue} received (min) ;-1;
Min of max size of {argue} received (max) ;0;
Min of min size of {argue} received (avg) ;-1.0;
Min of min size of {argue} received (stddev) ;0.0;
Min of min size of {argue} received (min) ;-1;
Min of min size of {argue} received (max) ;0;
Sum of nb of {argue} received (avg) ;-1.0;
Sum of nb of {argue} received (stddev) ;0.0;
Sum of nb of {argue} received (min) ;-1;
Sum of nb of {argue} received (max) ;0;
Sum of total size of {argue} received (avg) ;16.0;
Sum of total size of {argue} received (stddev) ;0.0;
Sum of total size of {argue} received (min) ;16;
Sum of total size of {argue} received (max) ;16;
Sum of max size of {argue} received (avg) ;16.0;
Sum of max size of {argue} received (stddev) ;0.0;
Sum of max size of {argue} received (min) ;16;
Sum of max size of {argue} received (max) ;16;
Sum of min size of {argue} received (avg) ;16.0;
Sum of min size of {argue} received (stddev) ;0.0;
Sum of min size of {argue} received (min) ;16;
Sum of min size of {argue} received (max) ;16;
Average of nb of {argue} received (avg) ;-0.3333333333333333;
Average of nb of {argue} received (stddev) ;0.0;
Average of nb of {argue} received (min) ;-0.3333333333333333;
Average of nb of {argue} received (max) ;0;
Average of total size of {argue} received (avg) ;5.333333333333333;
Average of total size of {argue} received (stddev) ;0.0;
Average of total size of {argue} received (min) ;5.333333333333333;
Average of total size of {argue} received (max) ;5.333333333333333;
Average of max size of {argue} received (avg) ;5.333333333333333;
Average of max size of {argue} received (stddev) ;0.0;
Average of max size of {argue} received (min) ;5.333333333333333;
Average of max size of {argue} received (max) ;5.333333333333333;
Average of min size of {argue} received (avg) ;5.333333333333333;
Average of min size of {argue} received (stddev) ;0.0;
Average of min size of {argue} received (min) ;5.333333333333333;
Average of min size of {argue} received (max) ;5.333333333333333;
Standard deviation of nb of {argue} received (avg) ;0.9428090415820634;
Standard deviation of nb of {argue} received (stddev) ;0.0;
Standard deviation of nb of {argue} received (min) ;0.9428090415820634;
Standard deviation of nb of {argue} received (max) ;0.9428090415820634;
Standard deviation of total size of {argue} received (avg) ;8.956685895029603;
Standard deviation of total size of {argue} received (stddev) ;0.0;
Standard deviation of total size of {argue} received (min) ;8.956685895029603;
Standard deviation of total size of {argue} received (max) ;8.956685895029603;
Standard deviation of max size of {argue} received (avg) ;8.956685895029603;
Standard deviation of max size of {argue} received (stddev) ;0.0;
Standard deviation of max size of {argue} received (min) ;8.956685895029603;
Standard deviation of max size of {argue} received (max) ;8.956685895029603;
Standard deviation of min size of {argue} received (avg) ;8.956685895029603;
Standard deviation of min size of {argue} received (stddev) ;0.0;
Standard deviation of min size of {argue} received (min) ;8.956685895029603;
Standard deviation of min size of {argue} received (max) ;8.956685895029603;
Product of nb of {end of local conversation} received (avg) ;6.0;
Product of nb of {end of local conversation} received (stddev) ;0.0;
Product of nb of {end of local conversation} received (min) ;6;
Product of nb of {end of local conversation} received (max) ;6;
Product of total size of {end of local conversation} received (avg) ;6000.0;
Product of total size of {end of local conversation} received (stddev) ;0.0;
Product of total size of {end of local conversation} received (min) ;6000;
Product of total size of {end of local conversation} received (max) ;6000;
Product of max size of {end of local conversation} received (avg) ;1000.0;
Product of max size of {end of local conversation} received (stddev) ;0.0;
Product of max size of {end of local conversation} received (min) ;1000;
Product of max size of {end of local conversation} received (max) ;1000;
Product of min size of {end of local conversation} received (avg) ;1000.0;
Product of min size of {end of local conversation} received (stddev) ;0.0;
Product of min size of {end of local conversation} received (min) ;1000;
Product of min size of {end of local conversation} received (max) ;1000;
Max of nb of {end of local conversation} received (avg) ;3.0;
Max of nb of {end of local conversation} received (stddev) ;0.0;
Max of nb of {end of local conversation} received (min) ;3;
Max of nb of {end of local conversation} received (max) ;3;
Max of total size of {end of local conversation} received (avg) ;30.0;
Max of total size of {end of local conversation} received (stddev) ;0.0;
Max of total size of {end of local conversation} received (min) ;30;
Max of total size of {end of local conversation} received (max) ;30;
Max of max size of {end of local conversation} received (avg) ;10.0;
Max of max size of {end of local conversation} received (stddev) ;0.0;
Max of max size of {end of local conversation} received (min) ;10;
Max of max size of {end of local conversation} received (max) ;10;
Max of min size of {end of local conversation} received (avg) ;10.0;
Max of min size of {end of local conversation} received (stddev) ;0.0;
Max of min size of {end of local conversation} received (min) ;10;
Max of min size of {end of local conversation} received (max) ;10;
Min of nb of {end of local conversation} received (avg) ;1.0;
Min of nb of {end of local conversation} received (stddev) ;0.0;
Min of nb of {end of local conversation} received (min) ;1;
Min of nb of {end of local conversation} received (max) ;1;
Min of total size of {end of local conversation} received (avg) ;10.0;
Min of total size of {end of local conversation} received (stddev) ;0.0;
Min of total size of {end of local conversation} received (min) ;10;
Min of total size of {end of local conversation} received (max) ;10;
Min of max size of {end of local conversation} received (avg) ;10.0;
Min of max size of {end of local conversation} received (stddev) ;0.0;
Min of max size of {end of local conversation} received (min) ;10;
Min of max size of {end of local conversation} received (max) ;10;
Min of min size of {end of local conversation} received (avg) ;10.0;
Min of min size of {end of local conversation} received (stddev) ;0.0;
Min of min size of {end of local conversation} received (min) ;10;
Min of min size of {end of local conversation} received (max) ;10;
Sum of nb of {end of local conversation} received (avg) ;6.0;
Sum of nb of {end of local conversation} received (stddev) ;0.0;
Sum of nb of {end of local conversation} received (min) ;6;
Sum of nb of {end of local conversation} received (max) ;6;
Sum of total size of {end of local conversation} received (avg) ;60.0;
Sum of total size of {end of local conversation} received (stddev) ;0.0;
Sum of total size of {end of local conversation} received (min) ;60;
Sum of total size of {end of local conversation} received (max) ;60;
Sum of max size of {end of local conversation} received (avg) ;30.0;
Sum of max size of {end of local conversation} received (stddev) ;0.0;
Sum of max size of {end of local conversation} received (min) ;30;
Sum of max size of {end of local conversation} received (max) ;30;
Sum of min size of {end of local conversation} received (avg) ;30.0;
Sum of min size of {end of local conversation} received (stddev) ;0.0;
Sum of min size of {end of local conversation} received (min) ;30;
Sum of min size of {end of local conversation} received (max) ;30;
Average of nb of {end of local conversation} received (avg) ;2.0;
Average of nb of {end of local conversation} received (stddev) ;0.0;
Average of nb of {end of local conversation} received (min) ;2.0;
Average of nb of {end of local conversation} received (max) ;2.0;
Average of total size of {end of local conversation} received (avg) ;20.0;
Average of total size of {end of local conversation} received (stddev) ;0.0;
Average of total size of {end of local conversation} received (min) ;20.0;
Average of total size of {end of local conversation} received (max) ;20.0;
Average of max size of {end of local conversation} received (avg) ;10.0;
Average of max size of {end of local conversation} received (stddev) ;0.0;
Average of max size of {end of local conversation} received (min) ;10.0;
Average of max size of {end of local conversation} received (max) ;10.0;
Average of min size of {end of local conversation} received (avg) ;10.0;
Average of min size of {end of local conversation} received (stddev) ;0.0;
Average of min size of {end of local conversation} received (min) ;10.0;
Average of min size of {end of local conversation} received (max) ;10.0;
Standard deviation of nb of {end of local conversation} received (avg) ;0.816496580927726;
Standard deviation of nb of {end of local conversation} received (stddev) ;0.0;
Standard deviation of nb of {end of local conversation} received (min) ;0.816496580927726;
Standard deviation of nb of {end of local conversation} received (max) ;0.816496580927726;
Standard deviation of total size of {end of local conversation} received (avg) ;8.16496580927726;
Standard deviation of total size of {end of local conversation} received (stddev) ;0.0;
Standard deviation of total size of {end of local conversation} received (min) ;8.16496580927726;
Standard deviation of total size of {end of local conversation} received (max) ;8.16496580927726;
Standard deviation of max size of {end of local conversation} received (avg) ;0.0;
Standard deviation of max size of {end of local conversation} received (stddev) ;0.0;
Standard deviation of max size of {end of local conversation} received (min) ;0.0;
Standard deviation of max size of {end of local conversation} received (max) ;0;
Standard deviation of min size of {end of local conversation} received (avg) ;0.0;
Standard deviation of min size of {end of local conversation} received (stddev) ;0.0;
Standard deviation of min size of {end of local conversation} received (min) ;0.0;
Standard deviation of min size of {end of local conversation} received (max) ;0;
Product of nb of {request} received (avg) ;1.0;
Product of nb of {request} received (stddev) ;0.0;
Product of nb of {request} received (min) ;1;
Product of nb of {request} received (max) ;1;
Product of total size of {request} received (avg) ;5832.0;
Product of total size of {request} received (stddev) ;0.0;
Product of total size of {request} received (min) ;5832;
Product of total size of {request} received (max) ;5832;
Product of max size of {request} received (avg) ;5832.0;
Product of max size of {request} received (stddev) ;0.0;
Product of max size of {request} received (min) ;5832;
Product of max size of {request} received (max) ;5832;
Product of min size of {request} received (avg) ;5832.0;
Product of min size of {request} received (stddev) ;0.0;
Product of min size of {request} received (min) ;5832;
Product of min size of {request} received (max) ;5832;
Max of nb of {request} received (avg) ;1.0;
Max of nb of {request} received (stddev) ;0.0;
Max of nb of {request} received (min) ;1;
Max of nb of {request} received (max) ;1;
Max of total size of {request} received (avg) ;18.0;
Max of total size of {request} received (stddev) ;0.0;
Max of total size of {request} received (min) ;18;
Max of total size of {request} received (max) ;18;
Max of max size of {request} received (avg) ;18.0;
Max of max size of {request} received (stddev) ;0.0;
Max of max size of {request} received (min) ;18;
Max of max size of {request} received (max) ;18;
Max of min size of {request} received (avg) ;18.0;
Max of min size of {request} received (stddev) ;0.0;
Max of min size of {request} received (min) ;18;
Max of min size of {request} received (max) ;18;
Min of nb of {request} received (avg) ;1.0;
Min of nb of {request} received (stddev) ;0.0;
Min of nb of {request} received (min) ;1;
Min of nb of {request} received (max) ;1;
Min of total size of {request} received (avg) ;18.0;
Min of total size of {request} received (stddev) ;0.0;
Min of total size of {request} received (min) ;18;
Min of total size of {request} received (max) ;18;
Min of max size of {request} received (avg) ;18.0;
Min of max size of {request} received (stddev) ;0.0;
Min of max size of {request} received (min) ;18;
Min of max size of {request} received (max) ;18;
Min of min size of {request} received (avg) ;18.0;
Min of min size of {request} received (stddev) ;0.0;
Min of min size of {request} received (min) ;18;
Min of min size of {request} received (max) ;18;
Sum of nb of {request} received (avg) ;3.0;
Sum of nb of {request} received (stddev) ;0.0;
Sum of nb of {request} received (min) ;3;
Sum of nb of {request} received (max) ;3;
Sum of total size of {request} received (avg) ;54.0;
Sum of total size of {request} received (stddev) ;0.0;
Sum of total size of {request} received (min) ;54;
Sum of total size of {request} received (max) ;54;
Sum of max size of {request} received (avg) ;54.0;
Sum of max size of {request} received (stddev) ;0.0;
Sum of max size of {request} received (min) ;54;
Sum of max size of {request} received (max) ;54;
Sum of min size of {request} received (avg) ;54.0;
Sum of min size of {request} received (stddev) ;0.0;
Sum of min size of {request} received (min) ;54;
Sum of min size of {request} received (max) ;54;
Average of nb of {request} received (avg) ;1.0;
Average of nb of {request} received (stddev) ;0.0;
Average of nb of {request} received (min) ;1.0;
Average of nb of {request} received (max) ;1.0;
Average of total size of {request} received (avg) ;18.0;
Average of total size of {request} received (stddev) ;0.0;
