;v0.3.1395e2_exEcai-3ag_ECAI_Clique_3All
Sum of min size of {acknowledge confirmation} received (min) ;36;
Sum of min size of {acknowledge confirmation} received (max) ;36;
Average of nb of {acknowledge confirmation} received (avg) ;4.333333333333333;
Average of nb of {acknowledge confirmation} received (stddev) ;0.0;
Average of nb of {acknowledge confirmation} received (min) ;4.333333333333333;
Average of nb of {acknowledge confirmation} received (max) ;4.333333333333333;
Average of total size of {acknowledge confirmation} received (avg) ;106.66666666666667;
Average of total size of {acknowledge confirmation} received (stddev) ;0.0;
Average of total size of {acknowledge confirmation} received (min) ;106.66666666666667;
Average of total size of {acknowledge confirmation} received (max) ;106.66666666666667;
Average of max size of {acknowledge confirmation} received (avg) ;33.333333333333336;
Average of max size of {acknowledge confirmation} received (stddev) ;0.0;
Average of max size of {acknowledge confirmation} received (min) ;33.333333333333336;
Average of max size of {acknowledge confirmation} received (max) ;33.333333333333336;
Average of min size of {acknowledge confirmation} received (avg) ;12.0;
Average of min size of {acknowledge confirmation} received (stddev) ;0.0;
Average of min size of {acknowledge confirmation} received (min) ;12.0;
Average of min size of {acknowledge confirmation} received (max) ;12.0;
Standard deviation of nb of {acknowledge confirmation} received (avg) ;0.9428090415820634;
Standard deviation of nb of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of nb of {acknowledge confirmation} received (min) ;0.9428090415820634;
Standard deviation of nb of {acknowledge confirmation} received (max) ;0.9428090415820634;
Standard deviation of total size of {acknowledge confirmation} received (avg) ;30.8688984074406;
Standard deviation of total size of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of total size of {acknowledge confirmation} received (min) ;30.8688984074406;
Standard deviation of total size of {acknowledge confirmation} received (max) ;30.8688984074406;
Standard deviation of max size of {acknowledge confirmation} received (avg) ;0.9428090415820634;
Standard deviation of max size of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of max size of {acknowledge confirmation} received (min) ;0.9428090415820634;
Standard deviation of max size of {acknowledge confirmation} received (max) ;0.9428090415820634;
Standard deviation of min size of {acknowledge confirmation} received (avg) ;8.48528137423857;
Standard deviation of min size of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of min size of {acknowledge confirmation} received (min) ;8.48528137423857;
Standard deviation of min size of {acknowledge confirmation} received (max) ;8.48528137423857;
Product of nb of {withdraw incomplete} received (avg) ;-1.0;
Product of nb of {withdraw incomplete} received (stddev) ;0.0;
Product of nb of {withdraw incomplete} received (min) ;-1;
Product of nb of {withdraw incomplete} received (max) ;0;
Product of total size of {withdraw incomplete} received (avg) ;-4.0;
Product of total size of {withdraw incomplete} received (stddev) ;0.0;
Product of total size of {withdraw incomplete} received (min) ;-4;
Product of total size of {withdraw incomplete} received (max) ;0;
Product of max size of {withdraw incomplete} received (avg) ;-4.0;
Product of max size of {withdraw incomplete} received (stddev) ;0.0;
Product of max size of {withdraw incomplete} received (min) ;-4;
Product of max size of {withdraw incomplete} received (max) ;0;
Product of min size of {withdraw incomplete} received (avg) ;-4.0;
Product of min size of {withdraw incomplete} received (stddev) ;0.0;
Product of min size of {withdraw incomplete} received (min) ;-4;
Product of min size of {withdraw incomplete} received (max) ;0;
Max of nb of {withdraw incomplete} received (avg) ;1.0;
Max of nb of {withdraw incomplete} received (stddev) ;0.0;
Max of nb of {withdraw incomplete} received (min) ;1;
Max of nb of {withdraw incomplete} received (max) ;1;
Max of total size of {withdraw incomplete} received (avg) ;2.0;
Max of total size of {withdraw incomplete} received (stddev) ;0.0;
Max of total size of {withdraw incomplete} received (min) ;2;
Max of total size of {withdraw incomplete} received (max) ;2;
Max of max size of {withdraw incomplete} received (avg) ;2.0;
Max of max size of {withdraw incomplete} received (stddev) ;0.0;
Max of max size of {withdraw incomplete} received (min) ;2;
Max of max size of {withdraw incomplete} received (max) ;2;
Max of min size of {withdraw incomplete} received (avg) ;2.0;
Max of min size of {withdraw incomplete} received (stddev) ;0.0;
Max of min size of {withdraw incomplete} received (min) ;2;
Max of min size of {withdraw incomplete} received (max) ;2;
Min of nb of {withdraw incomplete} received (avg) ;-1.0;
Min of nb of {withdraw incomplete} received (stddev) ;0.0;
Min of nb of {withdraw incomplete} received (min) ;-1;
Min of nb of {withdraw incomplete} received (max) ;0;
Min of total size of {withdraw incomplete} received (avg) ;-1.0;
Min of total size of {withdraw incomplete} received (stddev) ;0.0;
Min of total size of {withdraw incomplete} received (min) ;-1;
Min of total size of {withdraw incomplete} received (max) ;0;
Min of max size of {withdraw incomplete} received (avg) ;-1.0;
Min of max size of {withdraw incomplete} received (stddev) ;0.0;
Min of max size of {withdraw incomplete} received (min) ;-1;
Min of max size of {withdraw incomplete} received (max) ;0;
Min of min size of {withdraw incomplete} received (avg) ;-1.0;
Min of min size of {withdraw incomplete} received (stddev) ;0.0;
Min of min size of {withdraw incomplete} received (min) ;-1;
Min of min size of {withdraw incomplete} received (max) ;0;
Sum of nb of {withdraw incomplete} received (avg) ;1.0;
Sum of nb of {withdraw incomplete} received (stddev) ;0.0;
Sum of nb of {withdraw incomplete} received (min) ;1;
Sum of nb of {withdraw incomplete} received (max) ;1;
Sum of total size of {withdraw incomplete} received (avg) ;3.0;
Sum of total size of {withdraw incomplete} received (stddev) ;0.0;
Sum of total size of {withdraw incomplete} received (min) ;3;
Sum of total size of {withdraw incomplete} received (max) ;3;
Sum of max size of {withdraw incomplete} received (avg) ;3.0;
Sum of max size of {withdraw incomplete} received (stddev) ;0.0;
Sum of max size of {withdraw incomplete} received (min) ;3;
Sum of max size of {withdraw incomplete} received (max) ;3;
Sum of min size of {withdraw incomplete} received (avg) ;3.0;
Sum of min size of {withdraw incomplete} received (stddev) ;0.0;
Sum of min size of {withdraw incomplete} received (min) ;3;
Sum of min size of {withdraw incomplete} received (max) ;3;
Average of nb of {withdraw incomplete} received (avg) ;0.3333333333333333;
Average of nb of {withdraw incomplete} received (stddev) ;0.0;
Average of nb of {withdraw incomplete} received (min) ;0.3333333333333333;
Average of nb of {withdraw incomplete} received (max) ;0.3333333333333333;
Average of total size of {withdraw incomplete} received (avg) ;1.0;
Average of total size of {withdraw incomplete} received (stddev) ;0.0;
Average of total size of {withdraw incomplete} received (min) ;1.0;
Average of total size of {withdraw incomplete} received (max) ;1.0;
Average of max size of {withdraw incomplete} received (avg) ;1.0;
Average of max size of {withdraw incomplete} received (stddev) ;0.0;
Average of max size of {withdraw incomplete} received (min) ;1.0;
Average of max size of {withdraw incomplete} received (max) ;1.0;
Average of min size of {withdraw incomplete} received (avg) ;1.0;
Average of min size of {withdraw incomplete} received (stddev) ;0.0;
Average of min size of {withdraw incomplete} received (min) ;1.0;
Average of min size of {withdraw incomplete} received (max) ;1.0;
Standard deviation of nb of {withdraw incomplete} received (avg) ;0.9428090415820634;
Standard deviation of nb of {withdraw incomplete} received (stddev) ;0.0;
Standard deviation of nb of {withdraw incomplete} received (min) ;0.9428090415820634;
Standard deviation of nb of {withdraw incomplete} received (max) ;0.9428090415820634;
Standard deviation of total size of {withdraw incomplete} received (avg) ;1.4142135623730951;
Standard deviation of total size of {withdraw incomplete} received (stddev) ;0.0;
Standard deviation of total size of {withdraw incomplete} received (min) ;1.4142135623730951;
Standard deviation of total size of {withdraw incomplete} received (max) ;1.4142135623730951;
Standard deviation of max size of {withdraw incomplete} received (avg) ;1.4142135623730951;
Standard deviation of max size of {withdraw incomplete} received (stddev) ;0.0;
Standard deviation of max size of {withdraw incomplete} received (min) ;1.4142135623730951;
Standard deviation of max size of {withdraw incomplete} received (max) ;1.4142135623730951;
Standard deviation of min size of {withdraw incomplete} received (avg) ;1.4142135623730951;
Standard deviation of min size of {withdraw incomplete} received (stddev) ;0.0;
Standard deviation of min size of {withdraw incomplete} received (min) ;1.4142135623730951;
Standard deviation of min size of {withdraw incomplete} received (max) ;1.4142135623730951;
Product of nb of {argue} received (avg) ;8.0;
Product of nb of {argue} received (stddev) ;0.0;
Product of nb of {argue} received (min) ;8;
Product of nb of {argue} received (max) ;8;
Product of total size of {argue} received (avg) ;51984.0;
Product of total size of {argue} received (stddev) ;0.0;
Product of total size of {argue} received (min) ;51984;
Product of total size of {argue} received (max) ;51984;
Product of max size of {argue} received (avg) ;7200.0;
Product of max size of {argue} received (stddev) ;0.0;
Product of max size of {argue} received (min) ;7200;
Product of max size of {argue} received (max) ;7200;
Product of min size of {argue} received (avg) ;5832.0;
Product of min size of {argue} received (stddev) ;0.0;
Product of min size of {argue} received (min) ;5832;
Product of min size of {argue} received (max) ;5832;
Max of nb of {argue} received (avg) ;2.0;
Max of nb of {argue} received (stddev) ;0.0;
Max of nb of {argue} received (min) ;2;
Max of nb of {argue} received (max) ;2;
Max of total size of {argue} received (avg) ;38.0;
Max of total size of {argue} received (stddev) ;0.0;
Max of total size of {argue} received (min) ;38;
Max of total size of {argue} received (max) ;38;
Max of max size of {argue} received (avg) ;20.0;
Max of max size of {argue} received (stddev) ;0.0;
Max of max size of {argue} received (min) ;20;
Max of max size of {argue} received (max) ;20;
Max of min size of {argue} received (avg) ;18.0;
Max of min size of {argue} received (stddev) ;0.0;
Max of min size of {argue} received (min) ;18;
Max of min size of {argue} received (max) ;18;
Min of nb of {argue} received (avg) ;2.0;
Min of nb of {argue} received (stddev) ;0.0;
Min of nb of {argue} received (min) ;2;
Min of nb of {argue} received (max) ;2;
Min of total size of {argue} received (avg) ;36.0;
Min of total size of {argue} received (stddev) ;0.0;
Min of total size of {argue} received (min) ;36;
Min of total size of {argue} received (max) ;36;
Min of max size of {argue} received (avg) ;18.0;
Min of max size of {argue} received (stddev) ;0.0;
Min of max size of {argue} received (min) ;18;
Min of max size of {argue} received (max) ;18;
Min of min size of {argue} received (avg) ;18.0;
Min of min size of {argue} received (stddev) ;0.0;
Min of min size of {argue} received (min) ;18;
Min of min size of {argue} received (max) ;18;
Sum of nb of {argue} received (avg) ;6.0;
Sum of nb of {argue} received (stddev) ;0.0;
Sum of nb of {argue} received (min) ;6;
Sum of nb of {argue} received (max) ;6;
Sum of total size of {argue} received (avg) ;112.0;
Sum of total size of {argue} received (stddev) ;0.0;
Sum of total size of {argue} received (min) ;112;
Sum of total size of {argue} received (max) ;112;
Sum of max size of {argue} received (avg) ;58.0;
Sum of max size of {argue} received (stddev) ;0.0;
Sum of max size of {argue} received (min) ;58;
Sum of max size of {argue} received (max) ;58;
Sum of min size of {argue} received (avg) ;54.0;
Sum of min size of {argue} received (stddev) ;0.0;
Sum of min size of {argue} received (min) ;54;
Sum of min size of {argue} received (max) ;54;
Average of nb of {argue} received (avg) ;2.0;
Average of nb of {argue} received (stddev) ;0.0;
Average of nb of {argue} received (min) ;2.0;
Average of nb of {argue} received (max) ;2.0;
Average of total size of {argue} received (avg) ;37.333333333333336;
Average of total size of {argue} received (stddev) ;0.0;
Average of total size of {argue} received (min) ;37.333333333333336;
Average of total size of {argue} received (max) ;37.333333333333336;
Average of max size of {argue} received (avg) ;19.333333333333332;
Average of max size of {argue} received (stddev) ;0.0;
Average of max size of {argue} received (min) ;19.333333333333332;
Average of max size of {argue} received (max) ;19.333333333333332;
Average of min size of {argue} received (avg) ;18.0;
Average of min size of {argue} received (stddev) ;0.0;
Average of min size of {argue} received (min) ;18.0;
Average of min size of {argue} received (max) ;18.0;
Standard deviation of nb of {argue} received (avg) ;0.0;
Standard deviation of nb of {argue} received (stddev) ;0.0;
Standard deviation of nb of {argue} received (min) ;0.0;
Standard deviation of nb of {argue} received (max) ;0;
Standard deviation of total size of {argue} received (avg) ;0.9428090415820634;
Standard deviation of total size of {argue} received (stddev) ;0.0;
Standard deviation of total size of {argue} received (min) ;0.9428090415820634;
Standard deviation of total size of {argue} received (max) ;0.9428090415820634;
Standard deviation of max size of {argue} received (avg) ;0.9428090415820634;
Standard deviation of max size of {argue} received (stddev) ;0.0;
Standard deviation of max size of {argue} received (min) ;0.9428090415820634;
Standard deviation of max size of {argue} received (max) ;0.9428090415820634;
Standard deviation of min size of {argue} received (avg) ;0.0;
Standard deviation of min size of {argue} received (stddev) ;0.0;
Standard deviation of min size of {argue} received (min) ;0.0;
Standard deviation of min size of {argue} received (max) ;0;
Product of nb of {end of local conversation} received (avg) ;64.0;
Product of nb of {end of local conversation} received (stddev) ;0.0;
Product of nb of {end of local conversation} received (min) ;64;
Product of nb of {end of local conversation} received (max) ;64;
Product of total size of {end of local conversation} received (avg) ;64000.0;
Product of total size of {end of local conversation} received (stddev) ;0.0;
Product of total size of {end of local conversation} received (min) ;64000;
Product of total size of {end of local conversation} received (max) ;64000;
Product of max size of {end of local conversation} received (avg) ;1000.0;
Product of max size of {end of local conversation} received (stddev) ;0.0;
Product of max size of {end of local conversation} received (min) ;1000;
Product of max size of {end of local conversation} received (max) ;1000;
Product of min size of {end of local conversation} received (avg) ;1000.0;
Product of min size of {end of local conversation} received (stddev) ;0.0;
Product of min size of {end of local conversation} received (min) ;1000;
Product of min size of {end of local conversation} received (max) ;1000;
Max of nb of {end of local conversation} received (avg) ;4.0;
Max of nb of {end of local conversation} received (stddev) ;0.0;
Max of nb of {end of local conversation} received (min) ;4;
Max of nb of {end of local conversation} received (max) ;4;
Max of total size of {end of local conversation} received (avg) ;40.0;
Max of total size of {end of local conversation} received (stddev) ;0.0;
Max of total size of {end of local conversation} received (min) ;40;
Max of total size of {end of local conversation} received (max) ;40;
Max of max size of {end of local conversation} received (avg) ;10.0;
Max of max size of {end of local conversation} received (stddev) ;0.0;
Max of max size of {end of local conversation} received (min) ;10;
Max of max size of {end of local conversation} received (max) ;10;
Max of min size of {end of local conversation} received (avg) ;10.0;
Max of min size of {end of local conversation} received (stddev) ;0.0;
Max of min size of {end of local conversation} received (min) ;10;
Max of min size of {end of local conversation} received (max) ;10;
Min of nb of {end of local conversation} received (avg) ;4.0;
Min of nb of {end of local conversation} received (stddev) ;0.0;
Min of nb of {end of local conversation} received (min) ;4;
Min of nb of {end of local conversation} received (max) ;4;
Min of total size of {end of local conversation} received (avg) ;40.0;
Min of total size of {end of local conversation} received (stddev) ;0.0;
Min of total size of {end of local conversation} received (min) ;40;
Min of total size of {end of local conversation} received (max) ;40;
Min of max size of {end of local conversation} received (avg) ;10.0;
Min of max size of {end of local conversation} received (stddev) ;0.0;
Min of max size of {end of local conversation} received (min) ;10;
Min of max size of {end of local conversation} received (max) ;10;
Min of min size of {end of local conversation} received (avg) ;10.0;
Min of min size of {end of local conversation} received (stddev) ;0.0;
Min of min size of {end of local conversation} received (min) ;10;
Min of min size of {end of local conversation} received (max) ;10;
Sum of nb of {end of local conversation} received (avg) ;12.0;
Sum of nb of {end of local conversation} received (stddev) ;0.0;
Sum of nb of {end of local conversation} received (min) ;12;
Sum of nb of {end of local conversation} received (max) ;12;
Sum of total size of {end of local conversation} received (avg) ;120.0;
Sum of total size of {end of local conversation} received (stddev) ;0.0;
Sum of total size of {end of local conversation} received (min) ;120;
Sum of total size of {end of local conversation} received (max) ;120;
Sum of max size of {end of local conversation} received (avg) ;30.0;
Sum of max size of {end of local conversation} received (stddev) ;0.0;
Sum of max size of {end of local conversation} received (min) ;30;
Sum of max size of {end of local conversation} received (max) ;30;
Sum of min size of {end of local conversation} received (avg) ;30.0;
Sum of min size of {end of local conversation} received (stddev) ;0.0;
Sum of min size of {end of local conversation} received (min) ;30;
Sum of min size of {end of local conversation} received (max) ;30;
Average of nb of {end of local conversation} received (avg) ;4.0;
Average of nb of {end of local conversation} received (stddev) ;0.0;
Average of nb of {end of local conversation} received (min) ;4.0;
Average of nb of {end of local conversation} received (max) ;4.0;
Average of total size of {end of local conversation} received (avg) ;40.0;
Average of total size of {end of local conversation} received (stddev) ;0.0;
Average of total size of {end of local conversation} received (min) ;40.0;
Average of total size of {end of local conversation} received (max) ;40.0;
Average of max size of {end of local conversation} received (avg) ;10.0;
Average of max size of {end of local conversation} received (stddev) ;0.0;
Average of max size of {end of local conversation} received (min) ;10.0;
Average of max size of {end of local conversation} received (max) ;10.0;
Average of min size of {end of local conversation} received (avg) ;10.0;
Average of min size of {end of local conversation} received (stddev) ;0.0;
Average of min size of {end of local conversation} received (min) ;10.0;
Average of min size of {end of local conversation} received (max) ;10.0;
Standard deviation of nb of {end of local conversation} received (avg) ;0.0;
Standard deviation of nb of {end of local conversation} received (stddev) ;0.0;
Standard deviation of nb of {end of local conversation} received (min) ;0.0;
Standard deviation of nb of {end of local conversation} received (max) ;0;
Standard deviation of total size of {end of local conversation} received (avg) ;0.0;
Standard deviation of total size of {end of local conversation} received (stddev) ;0.0;
Standard deviation of total size of {end of local conversation} received (min) ;0.0;
Standard deviation of total size of {end of local conversation} received (max) ;0;
Standard deviation of max size of {end of local conversation} received (avg) ;0.0;
Standard deviation of max size of {end of local conversation} received (stddev) ;0.0;
Standard deviation of max size of {end of local conversation} received (min) ;0.0;
Standard deviation of max size of {end of local conversation} received (max) ;0;
Standard deviation of min size of {end of local conversation} received (avg) ;0.0;
Standard deviation of min size of {end of local conversation} received (stddev) ;0.0;
Standard deviation of min size of {end of local conversation} received (min) ;0.0;
Standard deviation of min size of {end of local conversation} received (max) ;0;
Product of nb of {request} received (avg) ;6.0;
Product of nb of {request} received (stddev) ;0.0;
Product of nb of {request} received (min) ;6;
Product of nb of {request} received (max) ;6;
Product of total size of {request} received (avg) ;34992.0;
Product of total size of {request} received (stddev) ;0.0;
Product of total size of {request} received (min) ;34992;
Product of total size of {request} received (max) ;34992;
Product of max size of {request} received (avg) ;5832.0;
Product of max size of {request} received (stddev) ;0.0;
Product of max size of {request} received (min) ;5832;
Product of max size of {request} received (max) ;5832;
Product of min size of {request} received (avg) ;5832.0;
Product of min size of {request} received (stddev) ;0.0;
Product of min size of {request} received (min) ;5832;
Product of min size of {request} received (max) ;5832;
Max of nb of {request} received (avg) ;3.0;
Max of nb of {request} received (stddev) ;0.0;
Max of nb of {request} received (min) ;3;
Max of nb of {request} received (max) ;3;
Max of total size of {request} received (avg) ;54.0;
Max of total size of {request} received (stddev) ;0.0;
Max of total size of {request} received (min) ;54;
Max of total size of {request} received (max) ;54;
Max of max size of {request} received (avg) ;18.0;
Max of max size of {request} received (stddev) ;0.0;
Max of max size of {request} received (min) ;18;
Max of max size of {request} received (max) ;18;
Max of min size of {request} received (avg) ;18.0;
Max of min size of {request} received (stddev) ;0.0;
Max of min size of {request} received (min) ;18;
Max of min size of {request} received (max) ;18;
Min of nb of {request} received (avg) ;1.0;
Min of nb of {request} received (stddev) ;0.0;
Min of nb of {request} received (min) ;1;
Min of nb of {request} received (max) ;1;
Min of total size of {request} received (avg) ;18.0;
Min of total size of {request} received (stddev) ;0.0;
Min of total size of {request} received (min) ;18;
Min of total size of {request} received (max) ;18;
Min of max size of {request} received (avg) ;18.0;
Min of max size of {request} received (stddev) ;0.0;
Min of max size of {request} received (min) ;18;
Min of max size of {request} received (max) ;18;
Min of min size of {request} received (avg) ;18.0;
Min of min size of {request} received (stddev) ;0.0;
Min of min size of {request} received (min) ;18;
Min of min size of {request} received (max) ;18;
Sum of nb of {request} received (avg) ;6.0;
Sum of nb of {request} received (stddev) ;0.0;
Sum of nb of {request} received (min) ;6;
Sum of nb of {request} received (max) ;6;
Sum of total size of {request} received (avg) ;108.0;
Sum of total size of {request} received (stddev) ;0.0;
Sum of total size of {request} received (min) ;108;
Sum of total size of {request} received (max) ;108;
Sum of max size of {request} received (avg) ;54.0;
Sum of max size of {request} received (stddev) ;0.0;
Sum of max size of {request} received (min) ;54;
Sum of max size of {request} received (max) ;54;
Sum of min size of {request} received (avg) ;54.0;
Sum of min size of {request} received (stddev) ;0.0;
Sum of min size of {request} received (min) ;54;
Sum of min size of {request} received (max) ;54;
Average of nb of {request} received (avg) ;2.0;
Average of nb of {request} received (stddev) ;0.0;
Average of nb of {request} received (min) ;2.0;
Average of nb of {request} received (max) ;2.0;
Average of total size of {request} received (avg) ;36.0;
Average of total size of {request} received (stddev) ;0.0;
Average of total size of {request} received (min) ;36.0;
Average of total size of {request} received (max) ;36.0;
Average of max size of {request} received (avg) ;18.0;
Average of max size of {request} received (stddev) ;0.0;
Average of max size of {request} received (min) ;18.0;
Average of max size of {request} received (max) ;18.0;
Average of min size of {request} received (avg) ;18.0;
Average of min size of {request} received (stddev) ;0.0;
Average of min size of {request} received (min) ;18.0;
Average of min size of {request} received (max) ;18.0;
Standard deviation of nb of {request} received (avg) ;0.816496580927726;
Standard deviation of nb of {request} received (stddev) ;0.0;
Standard deviation of nb of {request} received (min) ;0.816496580927726;
Standard deviation of nb of {request} received (max) ;0.816496580927726;
Standard deviation of total size of {request} received (avg) ;14.696938456699069;
Standard deviation of total size of {request} received (stddev) ;0.0;
Standard deviation of total size of {request} received (min) ;14.696938456699069;
Standard deviation of total size of {request} received (max) ;14.696938456699069;
Standard deviation of max size of {request} received (avg) ;0.0;
Standard deviation of max size of {request} received (stddev) ;0.0;
Standard deviation of max size of {request} received (min) ;0.0;
Standard deviation of max size of {request} received (max) ;0;
Standard deviation of min size of {request} received (avg) ;0.0;
Standard deviation of min size of {request} received (stddev) ;0.0;
Standard deviation of min size of {request} received (min) ;0.0;
Standard deviation of min size of {request} received (max) ;0;
Product of nb of {check context} received (avg) ;2.0;
Product of nb of {check context} received (stddev) ;0.0;
Product of nb of {check context} received (min) ;2;
Product of nb of {check context} received (max) ;2;
Product of total size of {check context} received (avg) ;539136.0;
Product of total size of {check context} received (stddev) ;0.0;
Product of total size of {check context} received (min) ;539136;
Product of total size of {check context} received (max) ;539136;
Product of max size of {check context} received (avg) ;294912.0;
Product of max size of {check context} received (stddev) ;0.0;
Product of max size of {check context} received (min) ;294912;
Product of max size of {check context} received (max) ;294912;
Product of min size of {check context} received (avg) ;244224.0;
Product of min size of {check context} received (stddev) ;0.0;
Product of min size of {check context} received (min) ;244224;
Product of min size of {check context} received (max) ;244224;
Max of nb of {check context} received (avg) ;2.0;
Max of nb of {check context} received (stddev) ;0.0;
Max of nb of {check context} received (min) ;2;
Max of nb of {check context} received (max) ;2;
Max of total size of {check context} received (avg) ;117.0;
Max of total size of {check context} received (stddev) ;0.0;
Max of total size of {check context} received (min) ;117;
Max of total size of {check context} received (max) ;117;
Max of max size of {check context} received (avg) ;72.0;
Max of max size of {check context} received (stddev) ;0.0;
Max of max size of {check context} received (min) ;72;
Max of max size of {check context} received (max) ;72;
Max of min size of {check context} received (avg) ;72.0;
Max of min size of {check context} received (stddev) ;0.0;
Max of min size of {check context} received (min) ;72;
Max of min size of {check context} received (max) ;72;
Min of nb of {check context} received (avg) ;1.0;
Min of nb of {check context} received (stddev) ;0.0;
Min of nb of {check context} received (min) ;1;
Min of nb of {check context} received (max) ;1;
Min of total size of {check context} received (avg) ;64.0;
Min of total size of {check context} received (stddev) ;0.0;
Min of total size of {check context} received (min) ;64;
Min of total size of {check context} received (max) ;64;
Min of max size of {check context} received (avg) ;64.0;
Min of max size of {check context} received (stddev) ;0.0;
Min of max size of {check context} received (min) ;64;
Min of max size of {check context} received (max) ;64;
Min of min size of {check context} received (avg) ;53.0;
Min of min size of {check context} received (stddev) ;0.0;
Min of min size of {check context} received (min) ;53;
Min of min size of {check context} received (max) ;53;
Sum of nb of {check context} received (avg) ;4.0;
Sum of nb of {check context} received (stddev) ;0.0;
Sum of nb of {check context} received (min) ;4;
Sum of nb of {check context} received (max) ;4;
Sum of total size of {check context} received (avg) ;253.0;
Sum of total size of {check context} received (stddev) ;0.0;
Sum of total size of {check context} received (min) ;253;
Sum of total size of {check context} received (max) ;253;
Sum of max size of {check context} received (avg) ;200.0;
Sum of max size of {check context} received (stddev) ;0.0;
Sum of max size of {check context} received (min) ;200;
Sum of max size of {check context} received (max) ;200;
Sum of min size of {check context} received (avg) ;189.0;
Sum of min size of {check context} received (stddev) ;0.0;
Sum of min size of {check context} received (min) ;189;
Sum of min size of {check context} received (max) ;189;
Average of nb of {check context} received (avg) ;1.3333333333333333;
Average of nb of {check context} received (stddev) ;0.0;
Average of nb of {check context} received (min) ;1.3333333333333333;
Average of nb of {check context} received (max) ;1.3333333333333333;
Average of total size of {check context} received (avg) ;84.33333333333333;
Average of total size of {check context} received (stddev) ;0.0;
Average of total size of {check context} received (min) ;84.33333333333333;
Average of total size of {check context} received (max) ;84.33333333333333;
Average of max size of {check context} received (avg) ;66.66666666666667;
Average of max size of {check context} received (stddev) ;0.0;
Average of max size of {check context} received (min) ;66.66666666666667;
Average of max size of {check context} received (max) ;66.66666666666667;
Average of min size of {check context} received (avg) ;63.0;
Average of min size of {check context} received (stddev) ;0.0;
Average of min size of {check context} received (min) ;63.0;
Average of min size of {check context} received (max) ;63.0;
Standard deviation of nb of {check context} received (avg) ;0.4714045207910317;
Standard deviation of nb of {check context} received (stddev) ;0.0;
Standard deviation of nb of {check context} received (min) ;0.4714045207910317;
Standard deviation of nb of {check context} received (max) ;0.4714045207910317;
Standard deviation of total size of {check context} received (avg) ;23.32857094256359;
Standard deviation of total size of {check context} received (stddev) ;0.0;
Standard deviation of total size of {check context} received (min) ;23.32857094256359;
Standard deviation of total size of {check context} received (max) ;23.32857094256359;
Standard deviation of max size of {check context} received (avg) ;3.7712361663282534;
Standard deviation of max size of {check context} received (stddev) ;0.0;
Standard deviation of max size of {check context} received (min) ;3.7712361663282534;
Standard deviation of max size of {check context} received (max) ;3.7712361663282534;
Standard deviation of min size of {check context} received (avg) ;7.788880963698615;
Standard deviation of min size of {check context} received (stddev) ;0.0;
Standard deviation of min size of {check context} received (min) ;7.788880963698615;
Standard deviation of min size of {check context} received (max) ;7.788880963698615;
Product of nb of {completeness counter-example} received (avg) ;16.0;
Product of nb of {completeness counter-example} received (stddev) ;0.0;
Product of nb of {completeness counter-example} received (min) ;16;
Product of nb of {completeness counter-example} received (max) ;16;
Product of total size of {completeness counter-example} received (avg) ;16000.0;
Product of total size of {completeness counter-example} received (stddev) ;0.0;
Product of total size of {completeness counter-example} received (min) ;16000;
Product of total size of {completeness counter-example} received (max) ;16000;
Product of max size of {completeness counter-example} received (avg) ;1000.0;
Product of max size of {completeness counter-example} received (stddev) ;0.0;
Product of max size of {completeness counter-example} received (min) ;1000;
Product of max size of {completeness counter-example} received (max) ;1000;
Product of min size of {completeness counter-example} received (avg) ;1000.0;
Product of min size of {completeness counter-example} received (stddev) ;0.0;
Product of min size of {completeness counter-example} received (min) ;1000;
Product of min size of {completeness counter-example} received (max) ;1000;
Max of nb of {completeness counter-example} received (avg) ;4.0;
Max of nb of {completeness counter-example} received (stddev) ;0.0;
Max of nb of {completeness counter-example} received (min) ;4;
Max of nb of {completeness counter-example} received (max) ;4;
Max of total size of {completeness counter-example} received (avg) ;40.0;
Max of total size of {completeness counter-example} received (stddev) ;0.0;
Max of total size of {completeness counter-example} received (min) ;40;
Max of total size of {completeness counter-example} received (max) ;40;
Max of max size of {completeness counter-example} received (avg) ;10.0;
Max of max size of {completeness counter-example} received (stddev) ;0.0;
Max of max size of {completeness counter-example} received (min) ;10;
Max of max size of {completeness counter-example} received (max) ;10;
Max of min size of {completeness counter-example} received (avg) ;10.0;
Max of min size of {completeness counter-example} received (stddev) ;0.0;
Max of min size of {completeness counter-example} received (min) ;10;
Max of min size of {completeness counter-example} received (max) ;10;
Min of nb of {completeness counter-example} received (avg) ;2.0;
Min of nb of {completeness counter-example} received (stddev) ;0.0;
Min of nb of {completeness counter-example} received (min) ;2;
Min of nb of {completeness counter-example} received (max) ;2;
Min of total size of {completeness counter-example} received (avg) ;20.0;
Min of total size of {completeness counter-example} received (stddev) ;0.0;
Min of total size of {completeness counter-example} received (min) ;20;
Min of total size of {completeness counter-example} received (max) ;20;
Min of max size of {completeness counter-example} received (avg) ;10.0;
Min of max size of {completeness counter-example} received (stddev) ;0.0;
Min of max size of {completeness counter-example} received (min) ;10;
Min of max size of {completeness counter-example} received (max) ;10;
Min of min size of {completeness counter-example} received (avg) ;10.0;
