;v0.3.136e1_DAREschedule_ECAI-CL_DARE_8All
Min of total size of {propose} received (min) ;30;
Min of total size of {propose} received (max) ;30;
Min of max size of {propose} received (avg) ;6.0;
Min of max size of {propose} received (stddev) ;0.0;
Min of max size of {propose} received (min) ;6;
Min of max size of {propose} received (max) ;6;
Min of min size of {propose} received (avg) ;6.0;
Min of min size of {propose} received (stddev) ;0.0;
Min of min size of {propose} received (min) ;6;
Min of min size of {propose} received (max) ;6;
Sum of nb of {propose} received (avg) ;42.0;
Sum of nb of {propose} received (stddev) ;0.0;
Sum of nb of {propose} received (min) ;42;
Sum of nb of {propose} received (max) ;42;
Sum of total size of {propose} received (avg) ;3437.0;
Sum of total size of {propose} received (stddev) ;0.0;
Sum of total size of {propose} received (min) ;3437;
Sum of total size of {propose} received (max) ;3437;
Sum of max size of {propose} received (avg) ;838.0;
Sum of max size of {propose} received (stddev) ;0.0;
Sum of max size of {propose} received (min) ;838;
Sum of max size of {propose} received (max) ;838;
Sum of min size of {propose} received (avg) ;173.0;
Sum of min size of {propose} received (stddev) ;0.0;
Sum of min size of {propose} received (min) ;173;
Sum of min size of {propose} received (max) ;173;
Average of nb of {propose} received (avg) ;5.25;
Average of nb of {propose} received (stddev) ;0.0;
Average of nb of {propose} received (min) ;5.25;
Average of nb of {propose} received (max) ;5.25;
Average of total size of {propose} received (avg) ;429.625;
Average of total size of {propose} received (stddev) ;0.0;
Average of total size of {propose} received (min) ;429.625;
Average of total size of {propose} received (max) ;429.625;
Average of max size of {propose} received (avg) ;104.75;
Average of max size of {propose} received (stddev) ;0.0;
Average of max size of {propose} received (min) ;104.75;
Average of max size of {propose} received (max) ;104.75;
Average of min size of {propose} received (avg) ;21.625;
Average of min size of {propose} received (stddev) ;0.0;
Average of min size of {propose} received (min) ;21.625;
Average of min size of {propose} received (max) ;21.625;
Standard deviation of nb of {propose} received (avg) ;1.984313483298443;
Standard deviation of nb of {propose} received (stddev) ;0.0;
Standard deviation of nb of {propose} received (min) ;1.984313483298443;
Standard deviation of nb of {propose} received (max) ;1.984313483298443;
Standard deviation of total size of {propose} received (avg) ;293.3734554710088;
Standard deviation of total size of {propose} received (stddev) ;0.0;
Standard deviation of total size of {propose} received (min) ;293.3734554710088;
Standard deviation of total size of {propose} received (max) ;293.3734554710088;
Standard deviation of max size of {propose} received (avg) ;63.99560531786538;
Standard deviation of max size of {propose} received (stddev) ;0.0;
Standard deviation of max size of {propose} received (min) ;63.99560531786538;
Standard deviation of max size of {propose} received (max) ;63.99560531786538;
Standard deviation of min size of {propose} received (avg) ;12.103072956898178;
Standard deviation of min size of {propose} received (stddev) ;0.0;
Standard deviation of min size of {propose} received (min) ;12.103072956898178;
Standard deviation of min size of {propose} received (max) ;12.103072956898178;
Product of nb of {acknowledge confirmation} received (avg) ;1270080.0;
Product of nb of {acknowledge confirmation} received (stddev) ;0.0;
Product of nb of {acknowledge confirmation} received (min) ;1270080;
Product of nb of {acknowledge confirmation} received (max) ;1270080;
Product of total size of {acknowledge confirmation} received (avg) ;4.6775493793232978E18;
Product of total size of {acknowledge confirmation} received (stddev) ;0.0;
Product of total size of {acknowledge confirmation} received (min) ;4677549379323297718;
Product of total size of {acknowledge confirmation} received (max) ;4677549379323297718;
Product of max size of {acknowledge confirmation} received (avg) ;4.993707080208E14;
Product of max size of {acknowledge confirmation} received (stddev) ;0.0;
Product of max size of {acknowledge confirmation} received (min) ;499370708020800;
Product of max size of {acknowledge confirmation} received (max) ;499370708020800;
Product of min size of {acknowledge confirmation} received (avg) ;6.183896616E9;
Product of min size of {acknowledge confirmation} received (stddev) ;0.0;
Product of min size of {acknowledge confirmation} received (min) ;6183896616;
Product of min size of {acknowledge confirmation} received (max) ;6183896616;
Max of nb of {acknowledge confirmation} received (avg) ;9.0;
Max of nb of {acknowledge confirmation} received (stddev) ;0.0;
Max of nb of {acknowledge confirmation} received (min) ;9;
Max of nb of {acknowledge confirmation} received (max) ;9;
Max of total size of {acknowledge confirmation} received (avg) ;745.0;
Max of total size of {acknowledge confirmation} received (stddev) ;0.0;
Max of total size of {acknowledge confirmation} received (min) ;745;
Max of total size of {acknowledge confirmation} received (max) ;745;
Max of max size of {acknowledge confirmation} received (avg) ;155.0;
Max of max size of {acknowledge confirmation} received (stddev) ;0.0;
Max of max size of {acknowledge confirmation} received (min) ;155;
Max of max size of {acknowledge confirmation} received (max) ;155;
Max of min size of {acknowledge confirmation} received (avg) ;31.0;
Max of min size of {acknowledge confirmation} received (stddev) ;0.0;
Max of min size of {acknowledge confirmation} received (min) ;31;
Max of min size of {acknowledge confirmation} received (max) ;31;
Min of nb of {acknowledge confirmation} received (avg) ;3.0;
Min of nb of {acknowledge confirmation} received (stddev) ;0.0;
Min of nb of {acknowledge confirmation} received (min) ;3;
Min of nb of {acknowledge confirmation} received (max) ;3;
Min of total size of {acknowledge confirmation} received (avg) ;30.0;
Min of total size of {acknowledge confirmation} received (stddev) ;0.0;
Min of total size of {acknowledge confirmation} received (min) ;30;
Min of total size of {acknowledge confirmation} received (max) ;30;
Min of max size of {acknowledge confirmation} received (avg) ;6.0;
Min of max size of {acknowledge confirmation} received (stddev) ;0.0;
Min of max size of {acknowledge confirmation} received (min) ;6;
Min of max size of {acknowledge confirmation} received (max) ;6;
Min of min size of {acknowledge confirmation} received (avg) ;6.0;
Min of min size of {acknowledge confirmation} received (stddev) ;0.0;
Min of min size of {acknowledge confirmation} received (min) ;6;
Min of min size of {acknowledge confirmation} received (max) ;6;
Sum of nb of {acknowledge confirmation} received (avg) ;50.0;
Sum of nb of {acknowledge confirmation} received (stddev) ;0.0;
Sum of nb of {acknowledge confirmation} received (min) ;50;
Sum of nb of {acknowledge confirmation} received (max) ;50;
Sum of total size of {acknowledge confirmation} received (avg) ;3685.0;
Sum of total size of {acknowledge confirmation} received (stddev) ;0.0;
Sum of total size of {acknowledge confirmation} received (min) ;3685;
Sum of total size of {acknowledge confirmation} received (max) ;3685;
Sum of max size of {acknowledge confirmation} received (avg) ;838.0;
Sum of max size of {acknowledge confirmation} received (stddev) ;0.0;
Sum of max size of {acknowledge confirmation} received (min) ;838;
Sum of max size of {acknowledge confirmation} received (max) ;838;
Sum of min size of {acknowledge confirmation} received (avg) ;173.0;
Sum of min size of {acknowledge confirmation} received (stddev) ;0.0;
Sum of min size of {acknowledge confirmation} received (min) ;173;
Sum of min size of {acknowledge confirmation} received (max) ;173;
Average of nb of {acknowledge confirmation} received (avg) ;6.25;
Average of nb of {acknowledge confirmation} received (stddev) ;0.0;
Average of nb of {acknowledge confirmation} received (min) ;6.25;
Average of nb of {acknowledge confirmation} received (max) ;6.25;
Average of total size of {acknowledge confirmation} received (avg) ;460.625;
Average of total size of {acknowledge confirmation} received (stddev) ;0.0;
Average of total size of {acknowledge confirmation} received (min) ;460.625;
Average of total size of {acknowledge confirmation} received (max) ;460.625;
Average of max size of {acknowledge confirmation} received (avg) ;104.75;
Average of max size of {acknowledge confirmation} received (stddev) ;0.0;
Average of max size of {acknowledge confirmation} received (min) ;104.75;
Average of max size of {acknowledge confirmation} received (max) ;104.75;
Average of min size of {acknowledge confirmation} received (avg) ;21.625;
Average of min size of {acknowledge confirmation} received (stddev) ;0.0;
Average of min size of {acknowledge confirmation} received (min) ;21.625;
Average of min size of {acknowledge confirmation} received (max) ;21.625;
Standard deviation of nb of {acknowledge confirmation} received (avg) ;2.165063509461097;
Standard deviation of nb of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of nb of {acknowledge confirmation} received (min) ;2.165063509461097;
Standard deviation of nb of {acknowledge confirmation} received (max) ;2.165063509461097;
Standard deviation of total size of {acknowledge confirmation} received (avg) ;302.2730295196712;
Standard deviation of total size of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of total size of {acknowledge confirmation} received (min) ;302.2730295196712;
Standard deviation of total size of {acknowledge confirmation} received (max) ;302.2730295196712;
Standard deviation of max size of {acknowledge confirmation} received (avg) ;63.99560531786538;
Standard deviation of max size of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of max size of {acknowledge confirmation} received (min) ;63.99560531786538;
Standard deviation of max size of {acknowledge confirmation} received (max) ;63.99560531786538;
Standard deviation of min size of {acknowledge confirmation} received (avg) ;12.103072956898178;
Standard deviation of min size of {acknowledge confirmation} received (stddev) ;0.0;
Standard deviation of min size of {acknowledge confirmation} received (min) ;12.103072956898178;
Standard deviation of min size of {acknowledge confirmation} received (max) ;12.103072956898178;
Product of nb of {withdraw incomplete} received (avg) ;-5.0;
Product of nb of {withdraw incomplete} received (stddev) ;0.0;
Product of nb of {withdraw incomplete} received (min) ;-5;
Product of nb of {withdraw incomplete} received (max) ;0;
Product of total size of {withdraw incomplete} received (avg) ;-40.0;
Product of total size of {withdraw incomplete} received (stddev) ;0.0;
Product of total size of {withdraw incomplete} received (min) ;-40;
Product of total size of {withdraw incomplete} received (max) ;0;
Product of max size of {withdraw incomplete} received (avg) ;-8.0;
Product of max size of {withdraw incomplete} received (stddev) ;0.0;
Product of max size of {withdraw incomplete} received (min) ;-8;
Product of max size of {withdraw incomplete} received (max) ;0;
Product of min size of {withdraw incomplete} received (avg) ;-8.0;
Product of min size of {withdraw incomplete} received (stddev) ;0.0;
Product of min size of {withdraw incomplete} received (min) ;-8;
Product of min size of {withdraw incomplete} received (max) ;0;
Max of nb of {withdraw incomplete} received (avg) ;5.0;
Max of nb of {withdraw incomplete} received (stddev) ;0.0;
Max of nb of {withdraw incomplete} received (min) ;5;
Max of nb of {withdraw incomplete} received (max) ;5;
Max of total size of {withdraw incomplete} received (avg) ;10.0;
Max of total size of {withdraw incomplete} received (stddev) ;0.0;
Max of total size of {withdraw incomplete} received (min) ;10;
Max of total size of {withdraw incomplete} received (max) ;10;
Max of max size of {withdraw incomplete} received (avg) ;2.0;
Max of max size of {withdraw incomplete} received (stddev) ;0.0;
Max of max size of {withdraw incomplete} received (min) ;2;
Max of max size of {withdraw incomplete} received (max) ;2;
Max of min size of {withdraw incomplete} received (avg) ;2.0;
Max of min size of {withdraw incomplete} received (stddev) ;0.0;
Max of min size of {withdraw incomplete} received (min) ;2;
Max of min size of {withdraw incomplete} received (max) ;2;
Min of nb of {withdraw incomplete} received (avg) ;-1.0;
Min of nb of {withdraw incomplete} received (stddev) ;0.0;
Min of nb of {withdraw incomplete} received (min) ;-1;
Min of nb of {withdraw incomplete} received (max) ;0;
Min of total size of {withdraw incomplete} received (avg) ;-1.0;
Min of total size of {withdraw incomplete} received (stddev) ;0.0;
Min of total size of {withdraw incomplete} received (min) ;-1;
Min of total size of {withdraw incomplete} received (max) ;0;
Min of max size of {withdraw incomplete} received (avg) ;-1.0;
Min of max size of {withdraw incomplete} received (stddev) ;0.0;
Min of max size of {withdraw incomplete} received (min) ;-1;
Min of max size of {withdraw incomplete} received (max) ;0;
Min of min size of {withdraw incomplete} received (avg) ;-1.0;
Min of min size of {withdraw incomplete} received (stddev) ;0.0;
Min of min size of {withdraw incomplete} received (min) ;-1;
Min of min size of {withdraw incomplete} received (max) ;0;
Sum of nb of {withdraw incomplete} received (avg) ;2.0;
Sum of nb of {withdraw incomplete} received (stddev) ;0.0;
Sum of nb of {withdraw incomplete} received (min) ;2;
Sum of nb of {withdraw incomplete} received (max) ;2;
Sum of total size of {withdraw incomplete} received (avg) ;9.0;
Sum of total size of {withdraw incomplete} received (stddev) ;0.0;
Sum of total size of {withdraw incomplete} received (min) ;9;
Sum of total size of {withdraw incomplete} received (max) ;9;
Sum of max size of {withdraw incomplete} received (avg) ;1.0;
Sum of max size of {withdraw incomplete} received (stddev) ;0.0;
Sum of max size of {withdraw incomplete} received (min) ;1;
Sum of max size of {withdraw incomplete} received (max) ;1;
Sum of min size of {withdraw incomplete} received (avg) ;1.0;
Sum of min size of {withdraw incomplete} received (stddev) ;0.0;
Sum of min size of {withdraw incomplete} received (min) ;1;
Sum of min size of {withdraw incomplete} received (max) ;1;
Average of nb of {withdraw incomplete} received (avg) ;0.25;
Average of nb of {withdraw incomplete} received (stddev) ;0.0;
Average of nb of {withdraw incomplete} received (min) ;0.25;
Average of nb of {withdraw incomplete} received (max) ;0.25;
Average of total size of {withdraw incomplete} received (avg) ;1.125;
Average of total size of {withdraw incomplete} received (stddev) ;0.0;
Average of total size of {withdraw incomplete} received (min) ;1.125;
Average of total size of {withdraw incomplete} received (max) ;1.125;
Average of max size of {withdraw incomplete} received (avg) ;0.125;
Average of max size of {withdraw incomplete} received (stddev) ;0.0;
Average of max size of {withdraw incomplete} received (min) ;0.125;
Average of max size of {withdraw incomplete} received (max) ;0.125;
Average of min size of {withdraw incomplete} received (avg) ;0.125;
Average of min size of {withdraw incomplete} received (stddev) ;0.0;
Average of min size of {withdraw incomplete} received (min) ;0.125;
Average of min size of {withdraw incomplete} received (max) ;0.125;
Standard deviation of nb of {withdraw incomplete} received (avg) ;1.984313483298443;
Standard deviation of nb of {withdraw incomplete} received (stddev) ;0.0;
Standard deviation of nb of {withdraw incomplete} received (min) ;1.984313483298443;
Standard deviation of nb of {withdraw incomplete} received (max) ;1.984313483298443;
Standard deviation of total size of {withdraw incomplete} received (avg) ;3.585997071945263;
Standard deviation of total size of {withdraw incomplete} received (stddev) ;0.0;
Standard deviation of total size of {withdraw incomplete} received (min) ;3.585997071945263;
Standard deviation of total size of {withdraw incomplete} received (max) ;3.585997071945263;
Standard deviation of max size of {withdraw incomplete} received (avg) ;1.4523687548277813;
Standard deviation of max size of {withdraw incomplete} received (stddev) ;0.0;
Standard deviation of max size of {withdraw incomplete} received (min) ;1.4523687548277813;
Standard deviation of max size of {withdraw incomplete} received (max) ;1.4523687548277813;
Standard deviation of min size of {withdraw incomplete} received (avg) ;1.4523687548277813;
Standard deviation of min size of {withdraw incomplete} received (stddev) ;0.0;
Standard deviation of min size of {withdraw incomplete} received (min) ;1.4523687548277813;
Standard deviation of min size of {withdraw incomplete} received (max) ;1.4523687548277813;
Product of nb of {ask other hypothesis} received (avg) ;120.0;
Product of nb of {ask other hypothesis} received (stddev) ;0.0;
Product of nb of {ask other hypothesis} received (min) ;120;
Product of nb of {ask other hypothesis} received (max) ;120;
Product of total size of {ask other hypothesis} received (avg) ;3.9639375E7;
Product of total size of {ask other hypothesis} received (stddev) ;0.0;
Product of total size of {ask other hypothesis} received (min) ;39639375;
Product of total size of {ask other hypothesis} received (max) ;39639375;
Product of max size of {ask other hypothesis} received (avg) ;1687500.0;
Product of max size of {ask other hypothesis} received (stddev) ;0.0;
Product of max size of {ask other hypothesis} received (min) ;1687500;
Product of max size of {ask other hypothesis} received (max) ;1687500;
Product of min size of {ask other hypothesis} received (avg) ;200.0;
Product of min size of {ask other hypothesis} received (stddev) ;0.0;
Product of min size of {ask other hypothesis} received (min) ;200;
Product of min size of {ask other hypothesis} received (max) ;200;
Max of nb of {ask other hypothesis} received (avg) ;30.0;
Max of nb of {ask other hypothesis} received (stddev) ;0.0;
Max of nb of {ask other hypothesis} received (min) ;30;
Max of nb of {ask other hypothesis} received (max) ;30;
Max of total size of {ask other hypothesis} received (avg) ;2175.0;
Max of total size of {ask other hypothesis} received (stddev) ;0.0;
Max of total size of {ask other hypothesis} received (min) ;2175;
Max of total size of {ask other hypothesis} received (max) ;2175;
Max of max size of {ask other hypothesis} received (avg) ;108.0;
Max of max size of {ask other hypothesis} received (stddev) ;0.0;
Max of max size of {ask other hypothesis} received (min) ;108;
Max of max size of {ask other hypothesis} received (max) ;108;
Max of min size of {ask other hypothesis} received (avg) ;25.0;
Max of min size of {ask other hypothesis} received (stddev) ;0.0;
Max of min size of {ask other hypothesis} received (min) ;25;
Max of min size of {ask other hypothesis} received (max) ;25;
Min of nb of {ask other hypothesis} received (avg) ;-1.0;
Min of nb of {ask other hypothesis} received (stddev) ;0.0;
Min of nb of {ask other hypothesis} received (min) ;-1;
Min of nb of {ask other hypothesis} received (max) ;0;
Min of total size of {ask other hypothesis} received (avg) ;-1.0;
Min of total size of {ask other hypothesis} received (stddev) ;0.0;
Min of total size of {ask other hypothesis} received (min) ;-1;
Min of total size of {ask other hypothesis} received (max) ;0;
Min of max size of {ask other hypothesis} received (avg) ;-1.0;
Min of max size of {ask other hypothesis} received (stddev) ;0.0;
Min of max size of {ask other hypothesis} received (min) ;-1;
Min of max size of {ask other hypothesis} received (max) ;0;
Min of min size of {ask other hypothesis} received (avg) ;-1.0;
Min of min size of {ask other hypothesis} received (stddev) ;0.0;
Min of min size of {ask other hypothesis} received (min) ;-1;
Min of min size of {ask other hypothesis} received (max) ;0;
Sum of nb of {ask other hypothesis} received (avg) ;31.0;
Sum of nb of {ask other hypothesis} received (stddev) ;0.0;
Sum of nb of {ask other hypothesis} received (min) ;31;
Sum of nb of {ask other hypothesis} received (max) ;31;
Sum of total size of {ask other hypothesis} received (avg) ;2250.0;
Sum of total size of {ask other hypothesis} received (stddev) ;0.0;
Sum of total size of {ask other hypothesis} received (min) ;2250;
Sum of total size of {ask other hypothesis} received (max) ;2250;
Sum of max size of {ask other hypothesis} received (avg) ;179.0;
Sum of max size of {ask other hypothesis} received (stddev) ;0.0;
Sum of max size of {ask other hypothesis} received (min) ;179;
Sum of max size of {ask other hypothesis} received (max) ;179;
Sum of min size of {ask other hypothesis} received (avg) ;27.0;
Sum of min size of {ask other hypothesis} received (stddev) ;0.0;
Sum of min size of {ask other hypothesis} received (min) ;27;
Sum of min size of {ask other hypothesis} received (max) ;27;
Average of nb of {ask other hypothesis} received (avg) ;3.875;
Average of nb of {ask other hypothesis} received (stddev) ;0.0;
Average of nb of {ask other hypothesis} received (min) ;3.875;
Average of nb of {ask other hypothesis} received (max) ;3.875;
Average of total size of {ask other hypothesis} received (avg) ;281.25;
Average of total size of {ask other hypothesis} received (stddev) ;0.0;
Average of total size of {ask other hypothesis} received (min) ;281.25;
Average of total size of {ask other hypothesis} received (max) ;281.25;
Average of max size of {ask other hypothesis} received (avg) ;22.375;
Average of max size of {ask other hypothesis} received (stddev) ;0.0;
Average of max size of {ask other hypothesis} received (min) ;22.375;
Average of max size of {ask other hypothesis} received (max) ;22.375;
Average of min size of {ask other hypothesis} received (avg) ;3.375;
Average of min size of {ask other hypothesis} received (stddev) ;0.0;
Average of min size of {ask other hypothesis} received (min) ;3.375;
Average of min size of {ask other hypothesis} received (max) ;3.375;
Standard deviation of nb of {ask other hypothesis} received (avg) ;9.955369154380966;
Standard deviation of nb of {ask other hypothesis} received (stddev) ;0.0;
Standard deviation of nb of {ask other hypothesis} received (min) ;9.955369154380966;
Standard deviation of nb of {ask other hypothesis} received (max) ;9.955369154380966;
Standard deviation of total size of {ask other hypothesis} received (avg) ;715.8822790794587;
Standard deviation of total size of {ask other hypothesis} received (stddev) ;0.0;
Standard deviation of total size of {ask other hypothesis} received (min) ;715.8822790794587;
Standard deviation of total size of {ask other hypothesis} received (max) ;715.8822790794587;
Standard deviation of max size of {ask other hypothesis} received (avg) ;34.528747081236524;
Standard deviation of max size of {ask other hypothesis} received (stddev) ;0.0;
Standard deviation of max size of {ask other hypothesis} received (min) ;34.528747081236524;
Standard deviation of max size of {ask other hypothesis} received (max) ;34.528747081236524;
Standard deviation of min size of {ask other hypothesis} received (avg) ;8.290619699395215;
Standard deviation of min size of {ask other hypothesis} received (stddev) ;0.0;
Standard deviation of min size of {ask other hypothesis} received (min) ;8.290619699395215;
Standard deviation of min size of {ask other hypothesis} received (max) ;8.290619699395215;
Product of nb of {completeness counter-example} received (avg) ;20.0;
Product of nb of {completeness counter-example} received (stddev) ;0.0;
Product of nb of {completeness counter-example} received (min) ;20;
Product of nb of {completeness counter-example} received (max) ;20;
Product of total size of {completeness counter-example} received (avg) ;3.0517578125E12;
Product of total size of {completeness counter-example} received (stddev) ;0.0;
Product of total size of {completeness counter-example} received (min) ;3051757812500;
Product of total size of {completeness counter-example} received (max) ;3051757812500;
Product of max size of {completeness counter-example} received (avg) ;1.52587890625E11;
Product of max size of {completeness counter-example} received (stddev) ;0.0;
Product of max size of {completeness counter-example} received (min) ;152587890625;
Product of max size of {completeness counter-example} received (max) ;152587890625;
Product of min size of {completeness counter-example} received (avg) ;1.52587890625E11;
Product of min size of {completeness counter-example} received (stddev) ;0.0;
Product of min size of {completeness counter-example} received (min) ;152587890625;
Product of min size of {completeness counter-example} received (max) ;152587890625;
Max of nb of {completeness counter-example} received (avg) ;20.0;
Max of nb of {completeness counter-example} received (stddev) ;0.0;
Max of nb of {completeness counter-example} received (min) ;20;
Max of nb of {completeness counter-example} received (max) ;20;
Max of total size of {completeness counter-example} received (avg) ;500.0;
Max of total size of {completeness counter-example} received (stddev) ;0.0;
Max of total size of {completeness counter-example} received (min) ;500;
Max of total size of {completeness counter-example} received (max) ;500;
Max of max size of {completeness counter-example} received (avg) ;25.0;
Max of max size of {completeness counter-example} received (stddev) ;0.0;
Max of max size of {completeness counter-example} received (min) ;25;
Max of max size of {completeness counter-example} received (max) ;25;
Max of min size of {completeness counter-example} received (avg) ;25.0;
Max of min size of {completeness counter-example} received (stddev) ;0.0;
Max of min size of {completeness counter-example} received (min) ;25;
Max of min size of {completeness counter-example} received (max) ;25;
Min of nb of {completeness counter-example} received (avg) ;1.0;
Min of nb of {completeness counter-example} received (stddev) ;0.0;
Min of nb of {completeness counter-example} received (min) ;1;
Min of nb of {completeness counter-example} received (max) ;1;
Min of total size of {completeness counter-example} received (avg) ;25.0;
Min of total size of {completeness counter-example} received (stddev) ;0.0;
Min of total size of {completeness counter-example} received (min) ;25;
Min of total size of {completeness counter-example} received (max) ;25;
Min of max size of {completeness counter-example} received (avg) ;25.0;
Min of max size of {completeness counter-example} received (stddev) ;0.0;
Min of max size of {completeness counter-example} received (min) ;25;
Min of max size of {completeness counter-example} received (max) ;25;
Min of min size of {completeness counter-example} received (avg) ;25.0;
Min of min size of {completeness counter-example} received (stddev) ;0.0;
Min of min size of {completeness counter-example} received (min) ;25;
Min of min size of {completeness counter-example} received (max) ;25;
Sum of nb of {completeness counter-example} received (avg) ;27.0;
Sum of nb of {completeness counter-example} received (stddev) ;0.0;
Sum of nb of {completeness counter-example} received (min) ;27;
Sum of nb of {completeness counter-example} received (max) ;27;
Sum of total size of {completeness counter-example} received (avg) ;675.0;
Sum of total size of {completeness counter-example} received (stddev) ;0.0;
Sum of total size of {completeness counter-example} received (min) ;675;
Sum of total size of {completeness counter-example} received (max) ;675;
Sum of max size of {completeness counter-example} received (avg) ;200.0;
Sum of max size of {completeness counter-example} received (stddev) ;0.0;
Sum of max size of {completeness counter-example} received (min) ;200;
Sum of max size of {completeness counter-example} received (max) ;200;
Sum of min size of {completeness counter-example} received (avg) ;200.0;
Sum of min size of {completeness counter-example} received (stddev) ;0.0;
Sum of min size of {completeness counter-example} received (min) ;200;
Sum of min size of {completeness counter-example} received (max) ;200;
Average of nb of {completeness counter-example} received (avg) ;3.375;
Average of nb of {completeness counter-example} received (stddev) ;0.0;
Average of nb of {completeness counter-example} received (min) ;3.375;
Average of nb of {completeness counter-example} received (max) ;3.375;
Average of total size of {completeness counter-example} received (avg) ;84.375;
Average of total size of {completeness counter-example} received (stddev) ;0.0;
Average of total size of {completeness counter-example} received (min) ;84.375;
Average of total size of {completeness counter-example} received (max) ;84.375;
Average of max size of {completeness counter-example} received (avg) ;25.0;
Average of max size of {completeness counter-example} received (stddev) ;0.0;
Average of max size of {completeness counter-example} received (min) ;25.0;
Average of max size of {completeness counter-example} received (max) ;25.0;
Average of min size of {completeness counter-example} received (avg) ;25.0;
Average of min size of {completeness counter-example} received (stddev) ;0.0;
Average of min size of {completeness counter-example} received (min) ;25.0;
Average of min size of {completeness counter-example} received (max) ;25.0;
Standard deviation of nb of {completeness counter-example} received (avg) ;6.283659363778403;
Standard deviation of nb of {completeness counter-example} received (stddev) ;0.0;
Standard deviation of nb of {completeness counter-example} received (min) ;6.283659363778403;
Standard deviation of nb of {completeness counter-example} received (max) ;6.283659363778403;
Standard deviation of total size of {completeness counter-example} received (avg) ;157.09148409446007;
Standard deviation of total size of {completeness counter-example} received (stddev) ;0.0;
Standard deviation of total size of {completeness counter-example} received (min) ;157.09148409446007;
Standard deviation of total size of {completeness counter-example} received (max) ;157.09148409446007;
Standard deviation of max size of {completeness counter-example} received (avg) ;0.0;
Standard deviation of max size of {completeness counter-example} received (stddev) ;0.0;
Standard deviation of max size of {completeness counter-example} received (min) ;0.0;
Standard deviation of max size of {completeness counter-example} received (max) ;0;
Standard deviation of min size of {completeness counter-example} received (avg) ;0.0;
Standard deviation of min size of {completeness counter-example} received (stddev) ;0.0;
Standard deviation of min size of {completeness counter-example} received (min) ;0.0;
Standard deviation of min size of {completeness counter-example} received (max) ;0;
Product of nb of {accept} received (avg) ;5.0;
Product of nb of {accept} received (stddev) ;0.0;
Product of nb of {accept} received (min) ;5;
Product of nb of {accept} received (max) ;5;
Product of total size of {accept} received (avg) ;4617605.0;
Product of total size of {accept} received (stddev) ;0.0;
Product of total size of {accept} received (min) ;4617605;
Product of total size of {accept} received (max) ;4617605;
Product of max size of {accept} received (avg) ;923521.0;
Product of max size of {accept} received (stddev) ;0.0;
Product of max size of {accept} received (min) ;923521;
Product of max size of {accept} received (max) ;923521;
Product of min size of {accept} received (avg) ;923521.0;
Product of min size of {accept} received (stddev) ;0.0;
Product of min size of {accept} received (min) ;923521;
Product of min size of {accept} received (max) ;923521;
Max of nb of {accept} received (avg) ;5.0;
Max of nb of {accept} received (stddev) ;0.0;
Max of nb of {accept} received (min) ;5;
Max of nb of {accept} received (max) ;5;
Max of total size of {accept} received (avg) ;155.0;
Max of total size of {accept} received (stddev) ;0.0;
Max of total size of {accept} received (min) ;155;
Max of total size of {accept} received (max) ;155;
Max of max size of {accept} received (avg) ;31.0;
Max of max size of {accept} received (stddev) ;0.0;
Max of max size of {accept} received (min) ;31;
Max of max size of {accept} received (max) ;31;
Max of min size of {accept} received (avg) ;31.0;
Max of min size of {accept} received (stddev) ;0.0;
Max of min size of {accept} received (min) ;31;
Max of min size of {accept} received (max) ;31;
Min of nb of {accept} received (avg) ;-1.0;
Min of nb of {accept} received (stddev) ;0.0;
Min of nb of {accept} received (min) ;-1;
Min of nb of {accept} received (max) ;0;
Min of total size of {accept} received (avg) ;-1.0;
Min of total size of {accept} received (stddev) ;0.0;
Min of total size of {accept} received (min) ;-1;
Min of total size of {accept} received (max) ;0;
Min of max size of {accept} received (avg) ;-1.0;
Min of max size of {accept} received (stddev) ;0.0;
Min of max size of {accept} received (min) ;-1;
Min of max size of {accept} received (max) ;0;
Min of min size of {accept} received (avg) ;-1.0;
Min of min size of {accept} received (stddev) ;0.0;
Min of min size of {accept} received (min) ;-1;
Min of min size of {accept} received (max) ;0;
Sum of nb of {accept} received (avg) ;4.0;
Sum of nb of {accept} received (stddev) ;0.0;
Sum of nb of {accept} received (min) ;4;
Sum of nb of {accept} received (max) ;4;
Sum of total size of {accept} received (avg) ;244.0;
Sum of total size of {accept} received (stddev) ;0.0;
Sum of total size of {accept} received (min) ;244;
Sum of total size of {accept} received (max) ;244;
Sum of max size of {accept} received (avg) ;120.0;
Sum of max size of {accept} received (stddev) ;0.0;
Sum of max size of {accept} received (min) ;120;
Sum of max size of {accept} received (max) ;120;
Sum of min size of {accept} received (avg) ;120.0;
Sum of min size of {accept} received (stddev) ;0.0;
Sum of min size of {accept} received (min) ;120;
Sum of min size of {accept} received (max) ;120;
Average of nb of {accept} received (avg) ;0.5;
Average of nb of {accept} received (stddev) ;0.0;
Average of nb of {accept} received (min) ;0.5;
Average of nb of {accept} received (max) ;0.5;
Average of total size of {accept} received (avg) ;30.5;
Average of total size of {accept} received (stddev) ;0.0;
Average of total size of {accept} received (min) ;30.5;
Average of total size of {accept} received (max) ;30.5;
Average of max size of {accept} received (avg) ;15.0;
Average of max size of {accept} received (stddev) ;0.0;
